,budget vegan curry [MASK] rice,vegan [MASK] soup,quick one pot [MASK] pasta,vegetarian [MASK] fried rice,asian [MASK] soup noodles,quick and easy [MASK] fried noodles,quick vegan [MASK] pasta,cheap dairy-free [MASK] soup,gluten-free [MASK] cheesecake,quick vegetarian [MASK] salad with mozzarella,vegetarian creamy [MASK] pasta,cheap vegetarian [MASK] pasta,gluten-free tomato [MASK] pasta
0,and,chicken,of,rice,style,stir,style,chicken,chocolate,:,rice,salad,and
1,rice,vegetarian,for,chicken,rice,.,salad,canned,dessert,style,style,food,salad
2,chicken,fish,with,:,chinese,deep,-,vegetable,vanilla,chicken,soup,pizza,-
3,white,salad,and,food,cuisine,;,and,fish,strawberry,caesar,cheese,soup,based
4,with,duck,",",-,fish,",",fast,tomato,cream,-,white,##s,or
5,:,diet,.,fish,bean,:,:,potato,",",fish,chicken,chicken,style
6,-,bean,a,vegetables,chicken,-,instant,milk,christmas,potato,dish,chinese,fried
7,",",vegetable,on,##ally,duck,pan,",",duck,green,course,vegetarian,dishes,soup
8,fried,tomato,-,stir,##a,chicken,homemade,cow,frozen,fruit,pasta,coffee,&
9,.,meat,roast,foods,fried,served,with,pea,french,side,sauce,rice,","
