,budget vegan curry rice,vegan soup,quick one pot pasta,vegetarian fried rice,asian soup noodles,quick and easy fried noodles,quick vegan pasta,cheap dairy-free soup,gluten-free cheesecake,quick vegetarian salad with mozzarella,vegetarian creamy pasta,cheap vegetarian pasta,gluten-free tomato pasta
0,lentil,lasagnan,mention,gluten free,mein,pilaf,lunchbox,gluten free,very-popular,goat's,rigate,gluten free,produce
1,romanesco,almondaise,lentils,salad,noodle,tonight,rigate,guideline,lacto-ovo-vegetarian,provolone,tortellini,inexpensive,seasonings
2,tempeh,tagine,broccoli,hakka,lo,mein,vegetarian,zuppa,dairy-free,asiago,mac,rigate,gluten free
3,dairy,dahl,vegetables,curds,slaw,entertaining,eclair,narai,fodmap friendly,feta,asiago,pescatarian,condiments
4,fodmap,primal,chicken,dairy free,ramen,quinoan,entertaining,adopted,very-healthy,mac,foods,primal,lacto ovo vegetarian
5,friendly,paleolithic,browinies,foods,choy,fricassee,homemade,shchavel,dairy free,goats,gluten free,pricey,dairy-free
6,kid,pilaf,tortellini,dairy-free,kimchi,hakka,cheesy,sounds,bars,cotija,goat's,foods,spices
7,bulgur,published,slow,romanesco,japanese,breaded,chiken,toscana,gluten free,lunchbox,primal,dairy,dairy free
8,indian,akara',10,wild,mee,cheesy,asiago,panera’s,lacto ovo vegetarian,arugula,lacto ovo vegetarian,produce,bakery
9,precision,tostadas,either,gluten-free,hakka,scampi,enchilada,norwegian,very popular,pimiento,treviso,gluten-free,foods
