;budget vegan curry rice;vegan soup;quick one pot pasta;vegetarian fried rice;asian soup noodles;quick and easy fried noodles;quick vegan pasta;cheap dairy-free soup;gluten-free cheesecake;quick vegetarian salad with mozzarella;vegetarian creamy pasta;cheap vegetarian pasta;gluten-free tomato pasta
0;5;0;0;0;5;2;0;0;0;0;5;0;0
1;5;0;5;0;0;0;5;0;0;4;5;0;0
2;5;3;5;0;0;4;0;5;0;4;0;5;0
3;0;3;5;5;1;0;2;0;0;4;5;0;0
4;0;0;5;0;5;1;0;0;0;0;0;0;0
5;0;0;1;0;5;1;0;5;0;0;0;0;0
6;0;2;5;0;5;0;5;0;0;4;0;0;0
7;5;0;0;5;0;0;2;0;0;0;0;0;0
8;0;5;0;0;5;0;5;0;0;4;0;0;0
9;0;3;0;0;0;5;3;0;0;4;5;0;0
